experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0027,0.0001,0.1,512,5,1.0,0.1,0.1,1e-05,5,300,50,scaffold,75.5883,,75.1370,,153,True,2025-11-18 15:35:02,0.8079,0.5985,0.7477,0.9966,0.0085,0.7674,0.5667,0.7225,0.9976,0.0063
exp_0026,0.001,0.1,32,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,73.3165,,63.2835,,77,True,2025-11-18 15:38:01,0.6707,0.5971,0.7477,1.0000,0.0000,0.6332,0.5653,0.7223,1.0000,0.0000
exp_0030,0.001,0.3,32,7,1.0,0.01,0.1,0.0001,5,300,50,scaffold,60.8434,,50.8381,,51,True,2025-11-18 15:44:15,0.5796,0.5971,0.7477,1.0000,0.0000,0.5421,0.5653,0.7223,1.0000,0.0000
exp_0028,1e-05,0.3,512,5,1.0,0.01,0.1,1e-05,5,300,50,scaffold,70.7821,,71.4242,,500,False,2025-11-18 15:45:02,0.7810,0.6095,0.7527,0.9954,0.0375,0.7301,0.5805,0.7269,0.9878,0.0506
exp_0021,1e-05,0.0,32,7,0.01,0.01,0.1,0.0,5,300,50,scaffold,73.1667,,70.2480,,281,True,2025-11-18 15:47:36,0.7287,0.5971,0.7477,1.0000,0.0000,0.6969,0.5653,0.7223,1.0000,0.0000
exp_0029,0.0001,0.3,512,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,78.8117,,77.0197,,500,False,2025-11-18 15:48:46,0.8185,0.5978,0.7478,0.9989,0.0034,0.8155,0.5653,0.7223,1.0000,0.0000
exp_0034,0.001,0.3,512,5,1.0,1.0,1.0,0.0,5,300,50,scaffold,76.7082,,75.5803,,105,True,2025-11-18 15:51:33,0.8082,0.5971,0.7477,1.0000,0.0000,0.7946,0.5653,0.7223,1.0000,0.0000
exp_0031,0.0001,0.1,32,3,0.01,0.01,1.0,1e-05,5,300,50,scaffold,67.6014,,65.6958,,68,True,2025-11-18 15:52:22,0.7225,0.5971,0.7477,1.0000,0.0000,0.6752,0.5653,0.7223,1.0000,0.0000
exp_0036,0.0001,0.3,32,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,62.2001,,54.8924,,58,True,2025-11-18 15:59:39,0.6324,0.5971,0.7477,1.0000,0.0000,0.5899,0.5653,0.7223,1.0000,0.0000
exp_0032,1e-05,0.0,32,3,0.1,0.1,0.1,1e-05,5,300,50,scaffold,68.2713,,69.6703,,129,True,2025-11-18 16:00:19,0.7462,0.5971,0.7477,1.0000,0.0000,0.7136,0.5653,0.7223,1.0000,0.0000
exp_0033,1e-05,0.1,512,3,0.01,0.01,1.0,1e-05,5,300,50,scaffold,71.4874,,71.3147,,500,False,2025-11-18 16:01:21,0.7697,0.6136,0.7551,0.9977,0.0443,0.7483,0.5736,0.7257,0.9976,0.0222
exp_0035,0.0001,0.1,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,76.8017,,74.6135,,500,False,2025-11-18 16:05:26,0.7899,0.6040,0.7508,0.9989,0.0187,0.7857,0.5722,0.7245,0.9951,0.0222
exp_0037,0.0001,0.1,32,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,60.5832,,57.4688,,58,True,2025-11-18 16:06:34,0.6485,0.5971,0.7477,1.0000,0.0000,0.5664,0.5653,0.7223,1.0000,0.0000
exp_0040,0.0001,0.3,32,5,0.1,0.1,1.0,0.0001,5,300,50,scaffold,63.8463,,57.2307,,58,True,2025-11-18 16:12:34,0.6598,0.5971,0.7477,1.0000,0.0000,0.6511,0.5653,0.7223,1.0000,0.0000
exp_0038,1e-05,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,70.1300,,70.8877,,500,False,2025-11-18 16:14:27,0.7698,0.6307,0.7609,0.9839,0.1073,0.7321,0.6039,0.7343,0.9684,0.1297
exp_0039,1e-05,0.3,512,5,0.01,1.0,1.0,1e-05,5,300,50,scaffold,72.0295,,72.2470,,500,False,2025-11-18 16:15:11,0.7860,0.6122,0.7542,0.9966,0.0426,0.7496,0.5805,0.7260,0.9830,0.0570
exp_0043,0.0001,0.0,512,5,1.0,0.1,0.1,1e-05,5,300,50,scaffold,75.1925,,74.3252,,228,True,2025-11-18 16:20:22,0.8035,0.5985,0.7480,0.9977,0.0068,0.7695,0.5681,0.7231,0.9976,0.0095
exp_0041,1e-05,0.3,32,5,1.0,0.01,1.0,0.0001,5,300,50,scaffold,64.0018,,63.6441,,140,True,2025-11-18 16:23:23,0.7103,0.5971,0.7477,1.0000,0.0000,0.6768,0.5653,0.7223,1.0000,0.0000
exp_0042,1e-05,0.3,32,5,0.01,0.01,0.1,0.0001,5,300,50,scaffold,65.6103,,64.6798,,140,True,2025-11-18 16:29:31,0.7082,0.5971,0.7477,1.0000,0.0000,0.6747,0.5653,0.7223,1.0000,0.0000
exp_0047,0.001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,76.3332,,76.9813,,81,True,2025-11-18 16:31:41,0.8224,0.5971,0.7477,1.0000,0.0000,0.7846,0.5653,0.7223,1.0000,0.0000
exp_0045,0.0001,0.0,512,3,0.01,1.0,0.1,0.0,5,300,50,scaffold,78.2647,,76.8542,,500,False,2025-11-18 16:34:03,0.8118,0.5999,0.7490,1.0000,0.0068,0.8067,0.5653,0.7223,1.0000,0.0000
exp_0048,0.0001,0.0,32,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,71.9552,,73.8371,,88,True,2025-11-18 16:42:32,0.7844,0.5971,0.7477,1.0000,0.0000,0.7343,0.5653,0.7223,1.0000,0.0000
exp_0046,0.0001,0.3,32,7,0.01,0.01,1.0,0.0001,5,300,50,scaffold,70.5107,,63.6309,,175,True,2025-11-18 16:45:04,0.6894,0.5971,0.7477,1.0000,0.0000,0.7232,0.5653,0.7223,1.0000,0.0000
exp_0044,1e-05,0.3,32,5,0.1,0.01,0.1,0.0,5,300,50,scaffold,75.4654,,69.8953,,297,True,2025-11-18 16:50:17,0.7429,0.5971,0.7477,1.0000,0.0000,0.7382,0.5653,0.7223,1.0000,0.0000
exp_0051,0.001,0.1,32,5,1.0,0.01,0.1,0.0,5,300,50,scaffold,68.6455,,57.9633,,53,True,2025-11-18 16:51:38,0.6259,0.5971,0.7477,1.0000,0.0000,0.5749,0.5653,0.7223,1.0000,0.0000
exp_0050,0.0001,0.3,512,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,76.8298,,75.9112,,473,True,2025-11-18 16:55:47,0.8050,0.5971,0.7477,1.0000,0.0000,0.7862,0.5653,0.7223,1.0000,0.0000
exp_0053,0.0001,0.0,512,5,1.0,0.01,0.1,1e-05,5,300,50,scaffold,75.0982,,74.0614,,270,True,2025-11-18 16:58:52,0.8010,0.5985,0.7482,0.9989,0.0051,0.7660,0.5681,0.7236,1.0000,0.0063
exp_0052,1e-05,0.0,512,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,64.2605,,64.2404,,500,False,2025-11-18 17:04:17,0.7019,0.6074,0.7526,1.0000,0.0256,0.6732,0.5667,0.7230,1.0000,0.0032
exp_0049,1e-05,0.1,32,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,73.3557,,69.1173,,254,True,2025-11-18 17:05:11,0.7242,0.5971,0.7477,1.0000,0.0000,0.7184,0.5653,0.7223,1.0000,0.0000
