experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
ames_v3_0020,0.0001,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,97.1839,86.7566,,84.0038,,145,True,2025-11-22 12:19:09,0.9755,0.9095,0.9123,0.8905,0.9309,0.8912,0.7868,0.8075,0.7908,0.7816,0.8780,0.7570,0.7937,0.7828,0.7189
ames_v3_0016,0.0005,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.9160,87.0792,,84.3208,,69,True,2025-11-22 12:20:15,0.9901,0.9478,0.9501,0.9406,0.9559,0.8862,0.7882,0.8122,0.8102,0.7595,0.8797,0.7618,0.7926,0.7621,0.7615
ames_v3_0012,0.001,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.3965,86.9352,,84.3108,,59,True,2025-11-22 12:20:44,0.9947,0.9592,0.9609,0.9480,0.9717,0.8756,0.7827,0.8030,0.7835,0.7816,0.8773,0.7673,0.8046,0.8023,0.7155
ames_v3_0025,0.001,0.3,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,99.3557,87.1177,,83.9237,,62,True,2025-11-22 12:21:12,0.9943,0.9590,0.9608,0.9502,0.9688,0.8786,0.7785,0.7990,0.7786,0.7785,0.8729,0.7660,0.8012,0.7897,0.7308
ames_v3_0015,0.001,0.3,128,5,0.1,0.01,1,0.0001,5,300,50,scaffold,99.6072,87.3010,,83.5812,,83,True,2025-11-22 12:21:24,0.9965,0.9678,0.9694,0.9640,0.9721,0.8613,0.7772,0.8029,0.8029,0.7437,0.8669,0.7625,0.7965,0.7782,0.7394
ames_v3_0027,0.001,0.3,128,7,0.1,0.01,1,0.0001,5,300,50,scaffold,99.4241,86.9475,,83.5721,,72,True,2025-11-22 12:24:22,0.9949,0.9611,0.9628,0.9521,0.9713,0.8685,0.7758,0.8034,0.8102,0.7310,0.8673,0.7728,0.8097,0.8092,0.7189
ames_v3_0008,0.0001,0.3,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.6576,87.7244,,83.3739,,174,True,2025-11-22 12:24:50,0.9790,0.9174,0.9230,0.9376,0.8946,0.8964,0.7854,0.8165,0.8443,0.7089,0.8738,0.7522,0.7991,0.8253,0.6440
ames_v3_0033,0.0001,0.3,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,95.3309,86.9622,,83.8777,,154,True,2025-11-22 12:27:38,0.9601,0.8830,0.8870,0.8685,0.8992,0.8981,0.7882,0.8051,0.7737,0.8070,0.8749,0.7701,0.8062,0.8011,0.7240
ames_v3_0028,0.0005,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.8678,86.8513,,84.0862,,70,True,2025-11-22 12:27:39,0.9899,0.9358,0.9372,0.9068,0.9683,0.8838,0.7758,0.7886,0.7397,0.8228,0.8748,0.7701,0.8067,0.8034,0.7206
ames_v3_0030,0.0005,0.3,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,99.1921,86.9976,,83.6903,,91,True,2025-11-22 12:28:19,0.9927,0.9521,0.9538,0.9354,0.9708,0.8658,0.7744,0.7913,0.7567,0.7975,0.8693,0.7687,0.8037,0.7931,0.7325
ames_v3_0042,0.0005,0.5,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,95.0995,87.0584,,83.3547,,75,True,2025-11-22 12:28:55,0.9547,0.8877,0.8953,0.9083,0.8646,0.8723,0.7882,0.8122,0.8102,0.7595,0.8702,0.7591,0.7934,0.7747,0.7359
ames_v3_0035,0.0001,0.3,128,7,0.1,0.01,1,0.0001,5,300,50,scaffold,96.1886,86.6919,,83.5636,,219,True,2025-11-22 12:31:04,0.9669,0.8975,0.9022,0.8945,0.9009,0.8974,0.7909,0.8128,0.8029,0.7753,0.8724,0.7618,0.7972,0.7839,0.7291
ames_v3_0029,0.0005,0.3,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.5204,86.8929,,83.6848,,72,True,2025-11-22 12:31:39,0.9873,0.9397,0.9425,0.9335,0.9467,0.8845,0.7827,0.8040,0.7883,0.7753,0.8724,0.7639,0.8014,0.7977,0.7138
ames_v3_0026,0.001,0.3,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,99.3614,87.0346,,83.3478,,80,True,2025-11-22 12:33:40,0.9943,0.9605,0.9622,0.9488,0.9738,0.8617,0.7744,0.7940,0.7689,0.7816,0.8723,0.7666,0.8041,0.8023,0.7138
ames_v3_0043,0.0005,0.5,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,96.4641,88.0501,,82.8344,,139,True,2025-11-22 12:36:15,0.9680,0.9015,0.9074,0.9135,0.8880,0.8857,0.7909,0.8164,0.8224,0.7500,0.8685,0.7563,0.7913,0.7736,0.7308
ames_v3_0034,0.0001,0.3,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,95.9948,86.9645,,83.7369,,115,True,2025-11-22 12:36:21,0.9646,0.8942,0.8986,0.8867,0.9025,0.8906,0.7730,0.7975,0.7908,0.7500,0.8732,0.7591,0.8055,0.8356,0.6457
ames_v3_0053,0.0005,0.5,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,96.8856,87.2001,,84.5080,,145,True,2025-11-22 12:37:14,0.9730,0.9091,0.9132,0.9046,0.9142,0.8963,0.7882,0.8108,0.8029,0.7690,0.8818,0.7721,0.8090,0.8080,0.7189
ames_v3_0022,0.0001,0.3,32,5,0.1,0.01,1,0.0001,5,300,50,scaffold,97.0456,86.6688,,83.8928,,145,True,2025-11-22 12:37:33,0.9740,0.9093,0.9120,0.8890,0.9321,0.8849,0.7937,0.8130,0.7932,0.7943,0.8749,0.7584,0.7929,0.7747,0.7342
