SAMPLE_DATA_TYPE,pAC50,smiles
flor 40 hr,7.378660554,Cl.O=C(Nc1c(C)cccc1C)C(C)N
flor 40 hr,7.328660554,[Br-].C[N+](C)(C)CCCCCCCCCCCCCCCC
glo 40 hr,7.328660554,[Br-].C[N+](C)(C)CCCCCCCCCCCCCCCC
glo 40 hr,7.378660554,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
flor 40 hr,7.378660554,C[C@]32CC[C@@H]1[C@H]4CCCC=C4CC[C@H]1[C@@H]3CC[C@@]2(O)CC
flor 40 hr,7.128660554,FC(F)(F)c2cc3C(=C\CCN1CCN(CCO)CC1)/c4ccccc4Sc3cc2
glo 40 hr,7.178660554,FC(F)(F)c2cc3C(=C\CCN1CCN(CCO)CC1)/c4ccccc4Sc3cc2
flor 40 hr,7.228660554,CCN(CCOc1ccc(cc1)C(c2ccccc2)=C(Cl)c3ccccc3)CC
glo 40 hr,7.378660554,CCN(CCOc1ccc(cc1)C(c2ccccc2)=C(Cl)c3ccccc3)CC
flor 40 hr,7.028660554,O=C2C(=C2c1ccccc1)c3ccccc3
glo 40 hr,7.178660554,O=C2C(=C2c1ccccc1)c3ccccc3
flor 40 hr,7.378660554,C[C@H]2CN(CC(C)Cc1ccc(cc1)C(C)(C)CC)C[C@@H](C)O2
flor 40 hr,5.478660554,O=C(OCC)c1ccc(nc1)C#Cc2ccc3SCCC(C)(C)c3c2
flor 40 hr,6.728660554,O=C(Nc1ccccc1N)c2ccc(N)cc2
glo 40 hr,7.378660554,[I-].OC(C(=O)OCC[N+](C)(C)C)(c1ccccc1)c2ccccc2
flor 40 hr,7.328660554,Nc1ncc2C[C@H]3N(CCC[C@@H]3Cc2n1)CCC
flor 40 hr,7.328660554,Oc1ccc(cc1OC)C=C3CCCC(=Cc2cc(OC)c(O)cc2)C3=O
flor 40 hr,7.378660554,[Na+].[Na+].[O-]C(=O)c4ccccc4C=2c3cc(Br)c([O-])c(Br)c3OC=1C=2C=C(Br)C(=O)C=1Br
flor 40 hr,7.228660554,O=C(O[Sn](CCCC)(OC(=O)CCCCCCCCCCC)CCCC)CCCCCCCCCCC
