experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0621,0.001,0.0,32,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,89.1839,,48.726,,67,True,2025-11-19 13:07:16,0.3129,0.3183,0.4829,1.0,0.0,0.33,0.335,0.5019,1.0,0.0
exp_0623,0.001,0.1,32,7,0.1,1.0,0.1,0.0,5,300,50,scaffold,89.0093,,49.9245,,57,True,2025-11-19 13:09:16,0.3189,0.3183,0.4829,1.0,0.0,0.3386,0.335,0.5019,1.0,0.0
exp_0606,0.0001,0.3,512,7,0.01,1.0,0.1,0.0,5,300,50,scaffold,88.8778,,87.9877,,500,False,2025-11-19 12:19:05,0.7472,0.3555,0.4966,0.9987,0.0552,0.7958,0.3606,0.5111,0.9975,0.0398
