experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
retune_exp045,0.001,0.0,512,5,0.1,0.1,1.0,0.0,5,300,50,scaffold,30.2593,,40.5825,,100,False,2025-11-17 09:22:29,62.8580,-0.7145,0.0189,0.0005,48.9482,0.0411,0.4029,0.3004
retune_exp051,0.0001,0.0,512,7,0.1,0.1,0.1,0.0001,5,300,50,scaffold,38.2644,,40.3748,,100,False,2025-11-17 09:25:26,62.7167,-0.7068,0.0652,0.0873,62.9036,-0.5837,0.2008,0.2204
retune_exp053,0.0001,0.0,512,5,0.1,0.1,0.1,0.0,5,300,50,scaffold,37.9907,,40.1026,,100,False,2025-11-17 09:26:31,62.5042,-0.6952,0.1161,0.1014,62.6678,-0.5718,0.2748,0.2704
retune_exp057,0.0001,0.0,512,5,0.01,0.01,0.1,0.0001,5,300,50,scaffold,37.9820,,40.1258,,100,False,2025-11-17 09:28:27,62.5517,-0.6978,0.0618,0.0507,62.7126,-0.5741,0.2551,0.2508
retune_exp061,0.0001,0.0,512,7,1.0,1.0,0.1,0.0,5,300,50,scaffold,38.2736,,40.3456,,100,False,2025-11-17 09:30:24,62.6774,-0.7046,0.1137,0.1345,62.8648,-0.5817,0.2455,0.2819
retune_exp065,0.0001,0.0,512,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,37.9921,,40.5825,,100,False,2025-11-17 09:32:23,62.8598,-0.7146,0.0087,-0.0107,62.6683,-0.5719,0.2749,0.2713
retune_exp066,0.0001,0.3,512,5,0.01,0.01,1.0,0.0001,5,300,50,scaffold,38.0021,,40.1721,,100,False,2025-11-17 09:32:33,62.5917,-0.7000,0.0256,0.0082,62.7406,-0.5755,0.2262,0.2493
retune_exp070,0.001,0.0,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,30.3924,,40.8914,,100,False,2025-11-17 09:34:30,63.0402,-0.7244,0.0853,0.0816,48.4557,0.0603,0.4373,0.3361
retune_exp079,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,38.3525,,38.2746,,100,False,2025-11-17 09:39:14,61.1742,-0.6239,0.1419,0.1715,62.9380,-0.5854,0.2184,0.2287
retune_exp082,0.001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,29.7404,,40.5074,,100,False,2025-11-17 09:40:33,62.7893,-0.7107,0.1154,0.1255,50.2404,-0.0102,0.5028,0.4784
retune_exp084,0.001,0.0,512,7,0.01,0.1,1.0,0.0001,5,300,50,scaffold,29.2050,,30.1297,,100,False,2025-11-17 09:42:11,47.7751,0.0096,0.3776,0.4584,48.7098,0.0504,0.4443,0.4227
retune_exp085,0.001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,29.0043,,40.4943,,100,False,2025-11-17 09:42:14,62.7989,-0.7113,0.0409,0.0754,48.5873,0.0552,0.4327,0.4283
retune_exp089,0.001,0.3,512,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,30.0092,,31.4240,,100,False,2025-11-17 09:44:12,49.0731,-0.0450,0.3758,0.4463,49.4824,0.0200,0.4972,0.4170
retune_exp099,0.0001,0.3,512,7,0.01,1.0,1.0,0.0001,5,300,50,scaffold,38.3215,,40.4277,,100,False,2025-11-17 09:48:59,62.7577,-0.7090,0.0262,0.0228,62.9537,-0.5862,0.1517,0.1291
