iter	Passed	Remaining
432	1544	2021
433	1547	2018
434	1550	2013
435	1553	2009
436	1556	2005
437	1559	2001
438	1562	1997
439	1565	1992
440	1569	1989
441	1573	1986
442	1576	1982
443	1579	1978
444	1583	1975
445	1588	1972
446	1592	1969
447	1595	1965
448	1598	1961
449	1601	1957
450	1605	1954
451	1613	1955
452	1620	1957
453	1627	1956
454	1633	1956
455	1639	1955
456	1644	1953
457	1649	1952
458	1652	1948
459	1659	1947
460	1669	1952
461	1673	1949
462	1676	1944
463	1679	1940
464	1682	1936
465	1685	1931
466	1691	1930
467	1694	1926
468	1697	1921
469	1700	1917
470	1703	1913
471	1706	1908
472	1710	1905
473	1713	1901
474	1716	1896
475	1719	1892
476	1722	1888
477	1725	1884
478	1728	1880
479	1731	1875
480	1734	1871
481	1737	1867
482	1740	1863
483	1743	1858
484	1746	1854
485	1749	1850
486	1752	1846
487	1755	1841
488	1757	1836
489	1761	1832
490	1763	1828
491	1766	1823
492	1769	1819
493	1772	1815
494	1775	1811
495	1778	1806
496	1782	1804
497	1788	1802
498	1790	1798
499	1793	1793
500	1796	1789
501	1799	1785
502	1802	1781
503	1805	1776
504	1808	1772
505	1811	1768
506	1814	1764
507	1817	1760
508	1820	1756
509	1824	1752
510	1827	1748
511	1830	1744
512	1833	1740
513	1836	1736
514	1840	1733
515	1843	1729
516	1847	1726
517	1850	1721
518	1854	1719
519	1858	1715
520	1863	1712
521	1868	1710
522	1873	1708
523	1879	1706
524	1882	1703
525	1887	1700
526	1890	1697
527	1894	1693
528	1898	1689
529	1902	1686
530	1904	1682
531	1908	1678
532	1911	1674
533	1914	1670
534	1916	1665
535	1919	1661
536	1922	1657
537	1925	1653
538	1928	1649
539	1931	1645
540	1934	1641
541	1937	1637
542	1940	1633
543	1944	1629
544	1947	1625
545	1950	1622
546	1953	1617
547	1956	1613
548	1959	1609
549	1961	1605
550	1964	1601
551	1967	1596
552	1970	1592
553	1974	1589
554	1977	1585
555	1980	1581
556	1984	1578
557	1987	1574
558	1990	1570
559	1993	1566
560	1996	1562
561	1999	1558
562	2002	1554
563	2005	1550
564	2008	1546
565	2012	1542
566	2016	1539
567	2019	1536
568	2023	1532
569	2026	1528
570	2029	1524
571	2032	1520
572	2035	1516
573	2037	1512
574	2040	1508
575	2044	1504
576	2047	1501
577	2050	1497
578	2053	1493
579	2056	1489
580	2060	1485
581	2063	1481
582	2066	1478
583	2069	1474
584	2072	1470
585	2076	1467
586	2079	1462
587	2082	1459
588	2085	1455
589	2088	1451
590	2092	1448
591	2096	1444
592	2100	1441
593	2109	1441
594	2114	1439
595	2119	1436
596	2124	1434
597	2128	1430
598	2133	1428
599	2136	1424
600	2141	1421
601	2144	1417
602	2148	1414
603	2154	1412
604	2158	1409
605	2161	1405
606	2164	1401
607	2166	1397
608	2170	1393
609	2173	1389
610	2178	1387
611	2181	1383
612	2185	1379
613	2189	1376
614	2192	1372
615	2196	1369
616	2199	1365
617	2202	1361
618	2205	1357
619	2208	1353
620	2211	1349
621	2214	1345
622	2218	1342
623	2221	1338
624	2224	1334
625	2227	1330
626	2230	1326
627	2233	1323
628	2237	1319
629	2239	1315
630	2242	1311
631	2245	1307
632	2248	1303
633	2252	1300
634	2255	1296
635	2258	1292
636	2261	1288
637	2264	1284
638	2267	1280
639	2270	1277
640	2274	1273
641	2277	1270
642	2281	1266
643	2284	1262
644	2287	1258
645	2290	1255
646	2293	1251
647	2296	1247
648	2299	1243
649	2302	1239
650	2305	1235
651	2308	1232
652	2312	1228
653	2315	1225
654	2318	1221
655	2322	1217
656	2325	1213
657	2328	1210
658	2331	1206
659	2334	1202
660	2338	1199
661	2343	1196
662	2349	1194
663	2355	1192
664	2361	1189
665	2369	1188
666	2374	1185
667	2378	1182
668	2383	1179
669	2388	1176
670	2392	1172
671	2397	1170
672	2403	1167
673	2408	1165
674	2411	1161
675	2414	1157
676	2417	1153
677	2420	1149
678	2425	1146
679	2428	1142
680	2431	1139
681	2434	1135
682	2437	1131
683	2440	1127
684	2443	1123
685	2446	1119
686	2449	1116
687	2452	1112
688	2455	1108
689	2458	1104
690	2462	1100
691	2464	1097
692	2468	1093
693	2471	1089
694	2474	1085
695	2477	1082
696	2480	1078
697	2483	1074
698	2486	1070
699	2489	1067
700	2493	1063
701	2496	1059
702	2500	1056
703	2503	1052
704	2506	1048
705	2509	1044
706	2512	1041
707	2515	1037
708	2518	1033
709	2521	1029
710	2524	1026
711	2527	1022
712	2530	1018
713	2533	1014
714	2537	1011
715	2540	1007
716	2543	1003
717	2546	1000
718	2549	996
719	2554	993
720	2558	990
721	2561	986
722	2564	982
723	2569	979
724	2572	975
725	2575	972
726	2578	968
727	2582	964
728	2588	962
729	2592	958
730	2598	956
731	2601	952
732	2606	949
733	2613	947
734	2617	943
735	2622	940
736	2625	937
737	2628	933
738	2631	929
739	2636	926
740	2639	922
741	2643	919
742	2646	915
743	2649	911
744	2653	908
745	2656	904
746	2659	900
747	2662	896
748	2665	893
749	2668	889
750	2672	886
751	2676	882
752	2681	879
753	2684	875
754	2688	872
755	2692	869
756	2696	865
757	2700	862
758	2702	858
759	2706	854
760	2709	850
761	2712	847
762	2716	843
763	2719	839
764	2722	836
765	2725	832
766	2728	828
767	2730	824
768	2734	821
769	2738	817
770	2741	814
771	2744	810
772	2751	807
773	2757	805
774	2762	802
775	2765	798
776	2772	795
777	2775	791
778	2778	788
779	2781	784
780	2784	780
781	2789	777
782	2792	773
783	2795	770
784	2798	766
785	2802	762
786	2805	759
787	2808	755
788	2811	751
789	2814	748
790	2819	744
791	2822	741
792	2825	737
793	2828	733
794	2832	730
795	2835	726
796	2839	723
797	2843	719
798	2847	716
799	2851	712
800	2854	709
801	2858	705
802	2861	702
803	2867	699
804	2871	695
805	2875	692
806	2881	689
807	2885	685
808	2888	681
809	2892	678
810	2897	675
811	2901	671
812	2905	668
813	2908	664
814	2911	660
815	2914	657
816	2917	653
817	2921	649
818	2924	646
819	2926	642
820	2929	638
821	2932	635
822	2935	631
823	2938	627
824	2941	624
825	2944	620
826	2948	616
827	2951	613
828	2954	609
829	2957	605
830	2960	602
831	2963	598
832	2966	594
833	2969	591
834	2973	587
835	2976	583
836	2979	580
837	2982	576
838	2985	572
839	2988	569
840	2991	565
841	2995	562
842	2998	558
843	3001	554
844	3004	551
845	3007	547
846	3012	544
847	3015	540
848	3018	536
849	3021	533
850	3024	529
851	3027	525
852	3031	522
853	3034	518
854	3037	515
855	3040	511
856	3043	507
857	3046	504
858	3049	500
859	3052	496
860	3056	493
861	3059	489
862	3062	486
863	3064	482
864	3069	479
865	3072	475
866	3077	472
867	3083	468
868	3089	465
869	3094	462
870	3099	459
871	3103	455
872	3106	451
873	3109	448
874	3113	444
875	3116	441
876	3120	437
877	3124	434
878	3128	430
879	3131	427
880	3134	423
881	3137	419
882	3141	416
883	3144	412
884	3147	409
885	3150	405
886	3153	401
887	3156	398
888	3160	394
889	3163	390
890	3166	387
891	3169	383
892	3172	380
893	3175	376
894	3179	372
895	3182	369
896	3185	365
897	3188	362
898	3191	358
899	3194	354
900	3197	351
901	3200	347
902	3203	344
903	3207	340
904	3210	336
905	3213	333
906	3216	329
907	3219	326
908	3222	322
909	3225	319
910	3228	315
911	3231	311
912	3234	308
913	3238	304
914	3241	301
915	3244	297
916	3247	293
917	3250	290
918	3253	286
919	3256	283
920	3260	279
921	3263	276
922	3266	272
923	3269	268
924	3272	265
925	3276	261
926	3279	258
927	3282	254
928	3285	251
929	3288	247
930	3291	243
931	3294	240
932	3297	236
933	3300	233
934	3303	229
935	3306	226
936	3311	222
937	3316	219
938	3321	215
939	3327	212
940	3332	208
941	3336	205
942	3342	202
943	3346	198
944	3353	195
945	3356	191
946	3359	188
947	3364	184
948	3367	180
949	3373	177
950	3376	173
951	3380	170
952	3383	166
953	3387	163
954	3390	159
955	3393	156
956	3397	152
957	3400	149
958	3404	145
959	3407	141
960	3410	138
961	3413	134
962	3417	131
963	3420	127
964	3424	124
965	3427	120
966	3430	117
967	3433	113
968	3436	109
969	3439	106
970	3442	102
971	3447	99
972	3452	95
973	3456	92
974	3463	88
975	3466	85
976	3470	81
977	3474	78
978	3478	74
979	3481	71
980	3484	67
981	3487	63
982	3490	60
983	3493	56
984	3497	53
985	3500	49
986	3503	46
987	3506	42
988	3509	39
989	3513	35
990	3516	31
991	3519	28
992	3523	24
993	3526	21
994	3529	17
995	3532	14
996	3535	10
997	3538	7
998	3542	3
999	3545	0
