iter	Logloss
214	0.4305988437
215	0.4299630128
216	0.4296702202
217	0.4293058337
218	0.4288816388
219	0.4285568869
220	0.4282352387
221	0.4277628532
222	0.4274890181
223	0.4270200298
224	0.4265378301
225	0.426270454
226	0.42595149
227	0.4255996859
228	0.4250434596
229	0.4247893789
230	0.4242994619
231	0.4240336796
232	0.4239519778
233	0.4235529897
234	0.423053594
235	0.4227679314
236	0.4224079069
237	0.4218926993
238	0.4216336275
239	0.4212608108
240	0.4208612775
241	0.4207726134
242	0.4202380709
243	0.4198436544
244	0.419461317
245	0.4188793387
246	0.4187298178
247	0.4185603328
248	0.4182963959
249	0.4179008469
250	0.4172373767
251	0.4168731999
252	0.4166620252
253	0.4163482619
254	0.416021329
255	0.4156935573
256	0.4153229635
257	0.4150510158
258	0.4148733522
259	0.4146501403
260	0.4144609429
261	0.413981721
262	0.4137308278
263	0.4135927988
264	0.4134388321
265	0.4131795506
266	0.4130478967
267	0.4127005384
268	0.4125711074
269	0.4122615802
270	0.4119226521
271	0.4115784394
272	0.4112162339
273	0.4108840583
274	0.410659714
275	0.4102879459
276	0.4100552552
277	0.4095950747
278	0.4092741814
279	0.4086303396
280	0.4083055877
281	0.4079503864
282	0.4078374803
283	0.4075335313
284	0.4072360412
285	0.4070190367
286	0.4068325654
287	0.4065218219
288	0.4063547695
289	0.4061724085
290	0.4058797417
291	0.4057571891
292	0.4055932403
293	0.4054664936
294	0.4052894172
295	0.4047583138
296	0.4045017166
297	0.4042168509
298	0.4038970061
299	0.4035794262
300	0.4034194199
301	0.4033402346
302	0.4029614623
303	0.4027395506
304	0.4025101733
305	0.4021062781
306	0.4017895789
307	0.4014393266
308	0.4012371693
309	0.4010119862
310	0.4007888582
311	0.4006692414
312	0.400487174
313	0.4002658075
314	0.4000815172
315	0.3999683175
316	0.3995762497
317	0.3991207666
318	0.3985327069
319	0.398185726
320	0.397976942
321	0.3978485595
322	0.3976183015
323	0.3974775043
324	0.3973039091
325	0.3970438727
326	0.3969048371
327	0.3966563346
328	0.3964781257
329	0.3960679812
330	0.3957816057
331	0.3954585733
332	0.395272899
333	0.395091922
334	0.3947019094
335	0.3945200097
336	0.3943512377
337	0.3940309316
338	0.3939308176
339	0.3936303497
340	0.3934868264
341	0.3931821644
342	0.3930478262
343	0.3928007497
344	0.3926151173
345	0.3922540861
346	0.3921242776
347	0.3919185133
348	0.391699873
349	0.391439543
350	0.3911257798
351	0.3908625558
352	0.3906118304
353	0.3904582412
354	0.3903097688
355	0.3900628181
356	0.3898599897
357	0.389505082
358	0.3891693414
359	0.3889275914
360	0.3886469618
361	0.3881773025
362	0.3877737848
363	0.3875675591
364	0.3874323402
365	0.3870772647
366	0.3867520095
367	0.3865388635
368	0.3862659511
369	0.3859347403
370	0.38577616
371	0.385454302
372	0.3850441575
373	0.3848343249
374	0.3845855708
375	0.3841016514
376	0.3838524778
377	0.3833971205
378	0.3832496128
379	0.3830433033
380	0.3827392285
381	0.382342631
382	0.382071564
383	0.381837699
384	0.3814465959
385	0.3812937616
386	0.3810566671
387	0.3807242819
388	0.38058835
389	0.3804249464
390	0.3802483314
391	0.380066977
392	0.3798607094
393	0.3795493368
394	0.3793557355
395	0.3792397257
396	0.3789699589
397	0.3788091558
398	0.3783633611
399	0.3781286573
400	0.3779589206
401	0.3775042344
402	0.3770222444
403	0.3768083854
404	0.3765574083
405	0.3763012305
406	0.3761087616
407	0.3759380603
408	0.3758565263
409	0.3757497437
410	0.3755860465
411	0.3754016304
412	0.3752657404
413	0.3749880048
414	0.3747459612
415	0.3745355414
416	0.3743302385
417	0.3739693332
418	0.3737875593
419	0.3733163063
420	0.3731180914
421	0.37287739
422	0.3726465867
423	0.3725071736
424	0.3723805108
425	0.372290253
426	0.3720679638
427	0.3717994972
428	0.3716484244
429	0.3714368722
430	0.3713110901
431	0.3711291066
432	0.3709294238
433	0.3707137613
434	0.3705980032
435	0.3703562952
436	0.3702199019
437	0.3699579362
438	0.369769242
439	0.3695693495
440	0.369402381
441	0.3691559755
442	0.3689013915
443	0.3686771311
444	0.3684426789
445	0.3681893531
446	0.3680899521
447	0.3679457577
448	0.3677373512
449	0.3675779321
450	0.3674468653
451	0.3672766254
452	0.3670672541
453	0.36688569
454	0.3665868579
455	0.366359368
456	0.3661028966
457	0.3659447357
458	0.3657073896
459	0.3655457896
460	0.3653541595
461	0.36522649
462	0.3649839012
463	0.3648118578
464	0.3645662492
465	0.3643540679
466	0.3642397358
467	0.3641219225
468	0.3639709756
469	0.3638294235
470	0.3635610827
471	0.3632954681
472	0.3632414477
473	0.3631226278
474	0.3628509736
475	0.3627037175
476	0.3625137652
477	0.3622824586
478	0.3617954775
479	0.3615496173
480	0.3614387244
481	0.3612520014
482	0.3611303296
483	0.3609643257
484	0.3605418085
485	0.3603838993
486	0.3601083446
487	0.3597793566
488	0.3596165403
489	0.3594419384
490	0.3592909915
491	0.3591086305
492	0.3590140108
493	0.3588727103
494	0.3587075453
495	0.3584776228
496	0.3582480777
497	0.3580923076
498	0.3579214385
499	0.357772295
500	0.3575269381
501	0.357326039
502	0.3572780162
503	0.3567865474
504	0.3566399204
505	0.3565230718
506	0.3563795065
507	0.3562798958
508	0.356140315
509	0.3559238976
510	0.3558039034
511	0.3555036452
512	0.3551856878
513	0.3550572214
514	0.3549622662
515	0.3548195398
516	0.3543055065
517	0.3541681486
518	0.3540257158
519	0.3538243973
520	0.3536079799
521	0.3535341631
522	0.3534413049
523	0.3531545099
524	0.3528539162
525	0.3527096799
526	0.3524040533
527	0.3523001645
528	0.3520806435
529	0.351979439
530	0.3517911014
531	0.3515213975
532	0.3514435963
533	0.3511123434
534	0.3509769987
535	0.3506130316
536	0.3502126804
537	0.3500396723
538	0.3498345791
539	0.3496725597
540	0.3494355281
541	0.3492765704
542	0.3490822141
543	0.3489603535
544	0.3488087775
545	0.348719002
546	0.3485903049
547	0.3484868356
548	0.3482554452
549	0.34817259
550	0.3479898515
551	0.3479018376
552	0.3477397343
553	0.3476382991
554	0.3475390029
555	0.3472965819
556	0.346987579
557	0.3466977852
558	0.3465337316
559	0.3463055916
560	0.346127236
561	0.34592554
562	0.3457354198
563	0.3456257013
564	0.3454060124
565	0.3451467729
566	0.3448311852
567	0.3445767899
568	0.3443138805
569	0.3441460312
570	0.3440091556
571	0.3438923909
572	0.34375
573	0.34357479
574	0.3435014975
575	0.3434256675
576	0.3433267908
577	0.3431884891
578	0.3430160682
579	0.3429245941
580	0.3428008671
581	0.3426934553
582	0.3424290151
583	0.3422511838
584	0.3420034571
585	0.341827639
586	0.3415765571
587	0.3413945735
588	0.3413470749
589	0.3411156216
590	0.3409945369
591	0.3408185719
592	0.3406242576
593	0.3403824448
594	0.3402135469
595	0.3400708415
596	0.339997528
597	0.3399101641
598	0.3397245946
599	0.3396193638
600	0.3393524699
601	0.3392397945
602	0.339049884
603	0.3386674837
604	0.3386097515
605	0.3384824175
606	0.3383263537
607	0.3382070096
608	0.3380617038
609	0.3378453912
610	0.337785478
611	0.3376571165
612	0.3374928113
613	0.3373290512
614	0.3371875621
615	0.3370309321
616	0.3368076573
617	0.336702007
618	0.336574715
619	0.3364671983
620	0.3362753376
621	0.3361489264
622	0.3359946032
623	0.3359021434
624	0.3356701239
625	0.3356023886
626	0.3355226581
627	0.3354510222
628	0.3352762526
629	0.3351432985
630	0.3349403653
631	0.3347919558
632	0.3346367308
633	0.3344859936
634	0.3343460353
635	0.3342341777
636	0.3339717507
637	0.3338354203
638	0.3336399107
639	0.3332850868
640	0.3331520278
641	0.332887273
642	0.3328033694
643	0.3325757536
644	0.3324608763
645	0.3323683117
646	0.3321438835
647	0.332097748
648	0.3318978765
649	0.3317714023
650	0.3317036461
651	0.3315616746
652	0.3313859193
653	0.3313271385
654	0.3311343341
655	0.3309412571
656	0.3307794264
657	0.330727503
658	0.3307022962
659	0.3304934283
660	0.3302766544
661	0.3300926367
662	0.3299324207
663	0.32980062
664	0.3296794095
665	0.3295293433
666	0.3294179261
667	0.3292920182
668	0.3290591598
669	0.3288572541
670	0.3287915949
671	0.3286498961
672	0.3284944614
673	0.328411753
674	0.3283176996
675	0.3281839695
676	0.3281058957
677	0.3279579895
678	0.327679415
679	0.3275461674
680	0.3273640999
681	0.3272466012
682	0.3271747976
683	0.3271277394
684	0.3269016755
685	0.3267908455
686	0.3267179934
687	0.3266532359
688	0.3265326126
689	0.3263862163
690	0.3262511861
691	0.3260448137
692	0.3259718777
693	0.3259093431
694	0.325764226
695	0.3256104271
696	0.3254435424
697	0.3252689405
698	0.3251957319
699	0.3250084638
700	0.3248780262
701	0.3247926336
702	0.3247306023
703	0.324647139
704	0.3244458415
705	0.3242641725
706	0.3241752988
707	0.3238940191
708	0.3238206427
709	0.3237416461
710	0.3236157591
711	0.3233678019
712	0.3232265224
713	0.3231635684
714	0.3230711926
715	0.322929326
716	0.3227624623
717	0.322696866
718	0.3225070604
719	0.3223563232
720	0.322259208
721	0.3220781891
722	0.3219624939
723	0.3218854895
724	0.3217909747
725	0.3217264689
726	0.3214998178
727	0.3213779153
728	0.3213142273
729	0.3210399099
730	0.3208852511
731	0.320767354
732	0.3206674916
733	0.3205591152
734	0.3204744775
735	0.3203777607
736	0.3202706635
737	0.3200995218
738	0.3199006569
739	0.319828329
740	0.3197335415
741	0.3195807702
742	0.3194314799
743	0.3192608205
744	0.3191094122
745	0.3189582766
746	0.3188196185
747	0.318781305
748	0.318607542
749	0.3185684736
750	0.3183804296
751	0.3181575742
752	0.3179798267
753	0.3178721213
754	0.3178114951
755	0.3176544247
756	0.317506162
757	0.3172711646
758	0.3171831297
759	0.3170322667
760	0.3168860172
761	0.3167928864
762	0.3165967057
763	0.3164330925
764	0.3163206058
765	0.3162727926
766	0.3161592574
767	0.3160531667
768	0.3159135439
769	0.3157313297
770	0.3156447208
771	0.3153372907
772	0.3152365056
773	0.3151024191
774	0.3148937818
775	0.3147285958
776	0.3144984846
777	0.314436684
778	0.3143056592
779	0.3141897543
780	0.3140770369
781	0.3139465363
782	0.3137185641
783	0.313642147
784	0.3135618712
785	0.3134470987
786	0.3130880178
787	0.3129497371
788	0.3128344613
789	0.3127321664
790	0.312631612
791	0.3125395926
792	0.3124018153
793	0.312336261
794	0.3122206286
795	0.3121147267
796	0.3120154096
797	0.3119583484
798	0.3118171947
799	0.3116988782
800	0.3115322871
801	0.3113704354
802	0.3112761303
803	0.3110711
804	0.3109651981
805	0.3107930917
806	0.3107062102
807	0.3105429745
808	0.3104207154
809	0.3103492473
810	0.3102112393
811	0.3100770479
812	0.3100137584
813	0.3098914155
814	0.3097833956
815	0.3096406482
816	0.3095851388
817	0.3095069391
818	0.3093294643
819	0.3090378251
820	0.3089654343
821	0.3089036127
822	0.3087679744
823	0.3086343283
824	0.3085113772
825	0.308350574
826	0.308206862
827	0.308040208
828	0.307836415
829	0.3077663729
830	0.3076609952
831	0.3076194523
832	0.3075695002
833	0.3074940057
834	0.3074053417
835	0.3072365487
836	0.3071422855
837	0.3070111559
838	0.3068975577
839	0.3067807091
840	0.3066890673
841	0.306596964
842	0.3064745372
843	0.3063081978
844	0.306248725
845	0.3060735359
846	0.3059541499
847	0.3059016603
848	0.305780261
849	0.3056070642
850	0.3055458718
851	0.305515653
852	0.3054701676
853	0.3053844814
854	0.305295398
855	0.3052046788
856	0.3050713053
857	0.3050025425
858	0.304962132
859	0.3047006696
860	0.3046021703
861	0.3045452349
862	0.3044943181
863	0.3044425835
864	0.3043671519
865	0.3043032333
866	0.3041822744
867	0.3040955397
868	0.3039865341
869	0.3038549641
870	0.3037085259
871	0.3035523782
872	0.3035030132
873	0.3034411497
874	0.3033732467
875	0.3031962751
876	0.3031600797
877	0.3031063948
878	0.3029241596
879	0.3028715652
880	0.30286951
881	0.3028107083
882	0.3026726373
883	0.3025775563
884	0.3024276998
885	0.3022687421
886	0.3022207612
887	0.3021327263
888	0.3020652636
889	0.3019570759
890	0.3019329596
891	0.3018451763
892	0.3016617878
893	0.3015573328
894	0.3014994957
895	0.3014160324
896	0.3012994983
897	0.3010735393
898	0.3010140035
899	0.3009594588
900	0.3007152343
901	0.300646786
902	0.3005029062
903	0.300367897
904	0.3002573605
905	0.300200551
906	0.3001200445
907	0.3000681631
908	0.2999717399
909	0.2998726954
910	0.2998222609
911	0.2996593607
912	0.2995984409
913	0.2995099237
914	0.2994530931
915	0.2993422002
916	0.2992209477
917	0.299039803
918	0.2989572205
919	0.2986638827
920	0.2985683612
921	0.2985492779
922	0.2984349248
923	0.2983587383
924	0.298251683
925	0.2981846188
926	0.2981385043
927	0.298106524
928	0.2979396393
929	0.2978529256
930	0.2978080903
931	0.2977840998
932	0.2976322721
933	0.2976110288
934	0.2975513253
935	0.2974480657
936	0.2973646024
937	0.2972417352
938	0.2971189099
939	0.2970626037
940	0.2970276246
941	0.2969055752
942	0.2968494367
943	0.2966339211
944	0.2966290559
945	0.2964969826
946	0.2962690523
947	0.2962076082
948	0.2961553493
949	0.2961112689
950	0.2960240309
951	0.295923099
952	0.2957524396
953	0.2957128051
954	0.2956695845
955	0.2955808156
956	0.2955330444
957	0.2954049555
958	0.2952967678
959	0.2951797514
960	0.2951547124
961	0.2950510963
962	0.2949766924
963	0.294873223
964	0.2947465601
965	0.2947189208
966	0.2946055533
967	0.2946008768
968	0.2944759545
969	0.2943510741
970	0.2942548607
971	0.294192431
972	0.2939860376
973	0.2938664628
974	0.2936796979
975	0.2936103688
976	0.2933993409
977	0.2933800689
978	0.2932116114
979	0.2931353411
980	0.2930648796
981	0.2929705744
982	0.2928480847
983	0.2927052954
984	0.2925401303
985	0.2924221703
986	0.2923109837
987	0.2922681406
988	0.2922357409
989	0.2921874245
990	0.292041888
991	0.2919471005
992	0.2919443324
993	0.2918650213
994	0.2916867706
995	0.2916708119
996	0.2915505031
997	0.2912740886
998	0.2912281628
999	0.2911206671
