experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0125,0.0001,0.1,512,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,72.9541,,82.1822,,316,True,2025-11-18 19:37:14,0.9364,0.8399,0.9088,0.9878,0.2179,0.8881,0.8522,0.9167,0.9880,0.2222
exp_0126,0.0001,0.0,512,3,0.1,0.1,0.1,0.0,5,300,50,scaffold,74.4760,,83.2767,,319,True,2025-11-18 19:37:30,0.9445,0.8350,0.9060,0.9848,0.2051,0.8934,0.8473,0.9141,0.9880,0.1944
exp_0129,0.001,0.0,32,7,0.1,1.0,1.0,1e-05,5,300,50,scaffold,73.1038,,79.3015,,53,True,2025-11-18 19:39:46,0.9279,0.8079,0.8937,1.0000,0.0000,0.8761,0.8227,0.9027,1.0000,0.0000
exp_0127,1e-05,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,66.1261,,76.8996,,500,False,2025-11-18 19:42:14,0.9195,0.8424,0.9093,0.9787,0.2692,0.8671,0.8473,0.9141,0.9880,0.1944
exp_0128,1e-05,0.0,512,5,0.1,0.1,0.1,1e-05,5,300,50,scaffold,71.3157,,80.6383,,500,False,2025-11-18 19:42:47,0.9308,0.8744,0.9264,0.9787,0.4359,0.8860,0.8719,0.9266,0.9820,0.3611
exp_0131,1e-05,0.3,32,3,1.0,1.0,0.1,0.0,5,300,50,scaffold,72.0226,,82.5731,,138,True,2025-11-18 19:46:11,0.9407,0.8522,0.9160,0.9970,0.2436,0.8961,0.8473,0.9141,0.9880,0.1944
exp_0130,0.001,0.0,32,5,0.1,0.01,1.0,1e-05,5,300,50,scaffold,86.2858,,57.4695,,216,True,2025-11-18 19:47:17,0.8192,0.8079,0.8937,1.0000,0.0000,0.9070,0.8227,0.9027,1.0000,0.0000
exp_0135,0.001,0.0,512,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,72.5549,,80.1263,,54,True,2025-11-18 19:48:22,0.9310,0.8202,0.8990,0.9909,0.1026,0.8614,0.8621,0.9218,0.9880,0.2778
exp_0133,1e-05,0.3,32,7,0.01,1.0,1.0,1e-05,5,300,50,scaffold,75.4907,,82.4187,,142,True,2025-11-18 19:49:02,0.9407,0.8571,0.9185,0.9970,0.2692,0.9029,0.8670,0.9244,0.9880,0.3056
exp_0132,1e-05,0.1,32,3,0.1,1.0,0.1,0.0,5,300,50,scaffold,73.0622,,82.5438,,164,True,2025-11-18 19:49:32,0.9444,0.8473,0.9132,0.9939,0.2308,0.8821,0.8522,0.9167,0.9880,0.2222
exp_0137,0.001,0.3,512,3,0.1,1.0,1.0,0.0,5,300,50,scaffold,72.5133,,81.7288,,58,True,2025-11-18 19:50:17,0.9326,0.8103,0.8944,0.9939,0.0385,0.8780,0.8424,0.9126,1.0000,0.1111
exp_0138,0.0001,0.1,512,7,0.01,0.01,0.1,0.0001,5,300,50,scaffold,71.7731,,80.3510,,121,True,2025-11-18 19:52:06,0.9375,0.8596,0.9191,0.9878,0.3205,0.8751,0.8818,0.9322,0.9880,0.3889
exp_0139,0.001,0.0,512,3,0.01,1.0,0.1,0.0,5,300,50,scaffold,71.9311,,82.0904,,85,True,2025-11-18 19:52:07,0.9434,0.8251,0.9015,0.9909,0.1282,0.8740,0.8621,0.9218,0.9880,0.2778
exp_0141,0.0001,0.0,512,7,0.01,0.1,1.0,0.0001,5,300,50,scaffold,72.2888,,81.1230,,126,True,2025-11-18 19:54:37,0.9396,0.8596,0.9191,0.9878,0.3205,0.8803,0.8818,0.9322,0.9880,0.3889
exp_0134,1e-05,0.0,512,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,73.2701,,82.0786,,500,False,2025-11-18 19:56:01,0.9450,0.8621,0.9200,0.9817,0.3590,0.8888,0.8966,0.9402,0.9880,0.4722
exp_0142,0.0001,0.0,512,5,1.0,1.0,1.0,0.0,5,300,50,scaffold,75.5406,,82.0904,,156,True,2025-11-18 19:57:47,0.9365,0.8818,0.9314,0.9939,0.4103,0.8948,0.8818,0.9318,0.9820,0.4167
exp_0143,0.001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,70.6587,,74.6130,,85,True,2025-11-18 19:57:50,0.9108,0.8079,0.8937,1.0000,0.0000,0.8644,0.8227,0.9027,1.0000,0.0000
exp_0136,1e-05,0.1,512,3,0.01,0.1,0.1,0.0001,5,300,50,scaffold,65.6437,,77.7341,,500,False,2025-11-18 19:58:12,0.9274,0.8596,0.9187,0.9817,0.3462,0.8674,0.8374,0.9076,0.9701,0.2222
