experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_1025,0.001,0.3,32,7,0.1,0.1,1.0,0.0001,5,300,50,scaffold,75.6045,,59.8424,,51,True,2025-11-20 04:08:28,0.5051,0.4386,0.6097,1.0000,0.0000,0.5057,0.4464,0.6173,1.0000,0.0000
exp_1022,1e-05,0.3,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,76.4095,,79.3968,,500,False,2025-11-20 04:13:26,0.7324,0.4512,0.6151,1.0000,0.0224,0.6931,0.4610,0.6236,1.0000,0.0264
exp_1029,0.001,0.3,32,5,1.0,0.01,0.1,1e-05,5,300,50,scaffold,79.9861,,60.0910,,51,True,2025-11-20 04:18:12,0.5018,0.4386,0.6097,1.0000,0.0000,0.4999,0.4464,0.6173,1.0000,0.0000
exp_1028,0.0001,0.0,32,7,0.1,0.01,1.0,1e-05,5,300,50,scaffold,81.1569,,80.0048,,63,True,2025-11-20 04:20:17,0.7562,0.4390,0.6099,1.0000,0.0007,0.7189,0.4472,0.6176,1.0000,0.0015
exp_1032,0.0001,0.3,512,7,1.0,0.01,0.1,0.0001,5,300,50,scaffold,75.9223,,78.3086,,123,True,2025-11-20 04:25:43,0.7076,0.4414,0.6110,1.0000,0.0051,0.6687,0.4529,0.6201,1.0000,0.0117
exp_1026,1e-05,0.0,32,5,0.1,1.0,0.1,0.0,5,300,50,scaffold,84.9865,,86.9291,,131,True,2025-11-20 04:26:03,0.8377,0.4390,0.6099,1.0000,0.0007,0.7968,0.4481,0.6180,1.0000,0.0029
exp_1034,0.001,0.1,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,82.3900,,69.8026,,58,True,2025-11-20 04:28:38,0.5892,0.4386,0.6097,1.0000,0.0000,0.5600,0.4464,0.6173,1.0000,0.0000
exp_1033,0.001,0.1,32,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,79.8670,,62.5133,,51,True,2025-11-20 04:35:03,0.5406,0.4386,0.6097,1.0000,0.0000,0.5320,0.4464,0.6173,1.0000,0.0000
exp_1030,1e-05,0.1,32,3,0.01,0.01,0.1,1e-05,5,300,50,scaffold,83.4046,,84.8043,,117,True,2025-11-20 04:37:29,0.8076,0.4386,0.6097,1.0000,0.0000,0.7593,0.4464,0.6173,1.0000,0.0000
exp_1031,1e-05,0.1,512,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,83.6068,,86.1486,,500,False,2025-11-20 04:39:49,0.8265,0.4880,0.6310,0.9982,0.0895,0.7892,0.5130,0.6466,0.9982,0.1217
