experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_rmse,test_r2,test_pearson,test_spearman,val_rmse,val_r2,val_pearson,val_spearman
exp_1130,0.001,0.0,32,7,0.1,0.1,1.0,0.0,5,300,50,scaffold,0.3608,,0.5975,,62,True,2025-11-20 09:01:51,0.7917,-0.3304,0.6922,0.7292,0.5160,0.5488,0.7737,0.7870
exp_1129,0.0001,0.3,32,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,0.3826,,0.4378,,150,True,2025-11-20 09:04:37,0.5786,0.2894,0.7335,0.7646,0.5480,0.4911,0.7416,0.7779
exp_1131,0.0001,0.0,32,7,0.01,1.0,0.1,1e-05,5,300,50,scaffold,0.3721,,0.6026,,145,True,2025-11-20 09:07:05,0.8292,-0.4596,0.6606,0.7208,0.5431,0.5002,0.7503,0.7848
exp_1128,0.0001,0.1,512,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,0.4706,,0.6190,,500,False,2025-11-20 09:09:53,0.8176,-0.4189,0.5835,0.6375,0.6383,0.3095,0.6652,0.7331
exp_1126,1e-05,0.1,32,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,0.6783,,0.6853,,500,False,2025-11-20 09:11:30,0.8279,-0.4550,0.2342,0.1633,0.9084,-0.3982,0.3237,0.3175
exp_1133,0.0001,0.1,32,3,0.1,0.1,0.1,0.0,5,300,50,scaffold,0.4108,,0.5341,,173,True,2025-11-20 09:13:04,0.6773,0.0262,0.7283,0.7452,0.5690,0.4514,0.7213,0.7312
exp_1135,0.001,0.3,32,7,0.1,0.1,1.0,0.0001,5,300,50,scaffold,0.3827,,0.4932,,63,True,2025-11-20 09:13:51,0.6585,0.0795,0.7687,0.7806,0.5977,0.3946,0.7466,0.7862
exp_1134,0.0001,0.1,32,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,0.3837,,0.5030,,122,True,2025-11-20 09:14:12,0.6986,-0.0359,0.7199,0.7671,0.5272,0.5290,0.7611,0.7955
exp_1136,0.001,0.3,32,5,1.0,1.0,1.0,1e-05,5,300,50,scaffold,0.3776,,0.4914,,68,True,2025-11-20 09:15:33,0.6506,0.1015,0.7460,0.7648,0.5531,0.4817,0.7699,0.7997
exp_1138,0.001,0.0,32,5,0.01,0.1,0.1,0.0001,5,300,50,scaffold,0.4009,,0.5834,,58,True,2025-11-20 09:16:23,0.7442,-0.1755,0.6962,0.7355,0.5657,0.4578,0.7583,0.7662
exp_1137,0.001,0.1,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.3655,,0.4788,,182,True,2025-11-20 09:17:48,0.6149,0.1974,0.7306,0.7340,0.5154,0.5499,0.7798,0.7816
exp_1141,0.001,0.1,32,5,1.0,0.1,1.0,0.0001,5,300,50,scaffold,0.3763,,0.5469,,62,True,2025-11-20 09:20:12,0.7323,-0.1383,0.7258,0.7577,0.5835,0.4231,0.7714,0.7882
exp_1132,1e-05,0.0,32,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,0.5228,,0.5684,,500,False,2025-11-20 09:21:38,0.6847,0.0048,0.5785,0.6086,0.6766,0.2244,0.5137,0.5382
exp_1142,0.001,0.0,32,3,1.0,0.01,1.0,0.0,5,300,50,scaffold,0.3926,,0.4975,,86,True,2025-11-20 09:23:27,0.5986,0.2394,0.7158,0.7200,0.5637,0.4616,0.7390,0.7500
exp_1139,1e-05,0.0,512,7,0.01,1.0,0.1,1e-05,5,300,50,scaffold,4.8873,,4.9814,,500,False,2025-11-20 09:26:10,5.0434,-52.9913,-0.2920,-0.3332,4.9509,-40.5352,0.0541,0.0553
exp_1143,0.0001,0.3,32,7,0.01,0.1,1.0,0.0,5,300,50,scaffold,0.3754,,0.4445,,148,True,2025-11-20 09:26:53,0.5680,0.3153,0.7329,0.7309,0.5445,0.4977,0.7486,0.7868
exp_1140,0.0001,0.3,512,3,1.0,0.1,1.0,1e-05,5,300,50,scaffold,0.4605,,0.6705,,500,False,2025-11-20 09:27:03,0.8496,-0.5321,0.6129,0.6683,0.6259,0.3361,0.6310,0.6936
exp_1145,0.001,0.1,32,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,0.3709,,0.5849,,60,True,2025-11-20 09:28:23,0.7700,-0.2585,0.7267,0.7477,0.5519,0.4838,0.7618,0.8042
exp_1144,0.0001,0.3,32,5,0.01,0.1,1.0,1e-05,5,300,50,scaffold,0.3802,,0.4350,,150,True,2025-11-20 09:28:49,0.5743,0.3000,0.7425,0.7700,0.5548,0.4783,0.7391,0.7695
