experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0227,0.001,0.3,512,7,1.0,0.01,0.1,0.0001,5,300,50,scaffold,67.4208,,62.5873,,68,True,2025-11-18 21:16:19,0.8515,0.7578,0.8622,1.0000,0.0000,0.8617,0.7656,0.8673,0.9608,0.0000
exp_0228,0.001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,71.0407,,61.7559,,73,True,2025-11-18 21:16:47,0.8449,0.7734,0.8700,1.0000,0.0645,0.8759,0.7656,0.8624,0.9216,0.1538
exp_0226,1e-05,0.1,32,7,0.1,0.01,0.1,1e-05,5,300,50,scaffold,67.4208,,61.8557,,83,True,2025-11-18 21:16:49,0.8393,0.7578,0.8597,0.9794,0.0645,0.8783,0.7812,0.8750,0.9608,0.0769
exp_0225,1e-05,0.0,32,3,0.1,0.1,1.0,1e-05,5,300,50,scaffold,60.0302,,66.6112,,121,True,2025-11-18 21:17:32,0.8681,0.7031,0.8224,0.9072,0.0645,0.8044,0.7656,0.8571,0.8824,0.3077
exp_0230,1e-05,0.3,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,66.6667,,58.8959,,59,True,2025-11-18 21:17:49,0.8367,0.5703,0.6497,0.5258,0.7097,0.8530,0.6250,0.7143,0.5882,0.7692
exp_0229,1e-05,0.1,32,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,65.7617,,54.9052,,85,True,2025-11-18 21:18:31,0.8051,0.7422,0.8507,0.9691,0.0323,0.8568,0.7969,0.8829,0.9608,0.1538
exp_0231,1e-05,0.1,32,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,67.2700,,62.6538,,88,True,2025-11-18 21:18:59,0.8432,0.7656,0.8636,0.9794,0.0968,0.8829,0.7969,0.8850,0.9804,0.0769
exp_0233,0.0001,0.3,32,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,65.9125,,61.6561,,57,True,2025-11-18 21:19:17,0.8359,0.7578,0.8622,1.0000,0.0000,0.8615,0.7969,0.8870,1.0000,0.0000
exp_0232,1e-05,0.0,32,7,0.1,0.01,0.1,1e-05,5,300,50,scaffold,70.7391,,64.7157,,80,True,2025-11-18 21:19:34,0.8623,0.7656,0.8649,0.9897,0.0645,0.8850,0.7812,0.8750,0.9608,0.0769
exp_0234,0.001,0.0,32,7,1.0,1.0,1.0,1e-05,5,300,50,scaffold,68.9291,,65.8131,,57,True,2025-11-18 21:19:58,0.8588,0.7578,0.8622,1.0000,0.0000,0.8661,0.7969,0.8870,1.0000,0.0000
exp_0237,0.001,0.1,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,68.9291,,61.3901,,78,True,2025-11-18 21:20:53,0.8462,0.7578,0.8622,1.0000,0.0000,0.8671,0.7656,0.8673,0.9608,0.0000
exp_0235,0.0001,0.0,32,3,0.01,0.01,0.1,1e-05,5,300,50,scaffold,61.2368,,69.1719,,87,True,2025-11-18 21:21:11,0.8833,0.7578,0.8622,1.0000,0.0000,0.8046,0.7969,0.8870,1.0000,0.0000
exp_0238,0.001,0.0,32,3,1.0,0.1,0.1,1e-05,5,300,50,scaffold,63.4992,,71.6661,,54,True,2025-11-18 21:21:23,0.8882,0.7578,0.8622,1.0000,0.0000,0.8038,0.7969,0.8870,1.0000,0.0000
exp_0239,1e-05,0.3,512,5,0.01,1.0,0.1,0.0001,5,300,50,scaffold,67.5716,,51.9122,,51,True,2025-11-18 21:21:47,0.7829,0.5938,0.6941,0.6082,0.5484,0.8711,0.7031,0.8081,0.7843,0.3846
exp_0236,0.0001,0.1,32,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,61.2368,,68.1410,,106,True,2025-11-18 21:21:59,0.8742,0.7578,0.8622,1.0000,0.0000,0.8065,0.7969,0.8870,1.0000,0.0000
exp_0240,1e-05,0.0,512,5,0.01,0.01,0.1,0.0001,5,300,50,scaffold,72.6998,,54.6724,,51,True,2025-11-18 21:22:06,0.7797,0.5234,0.6258,0.5258,0.5161,0.9070,0.6562,0.7609,0.6863,0.5385
exp_0243,0.0001,0.3,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,67.1192,,60.7582,,68,True,2025-11-18 21:23:13,0.8434,0.7344,0.8365,0.8969,0.2258,0.8749,0.7656,0.8544,0.8627,0.3846
exp_0242,0.001,0.3,32,5,1.0,0.01,0.1,1e-05,5,300,50,scaffold,66.6667,,65.9461,,67,True,2025-11-18 21:23:32,0.8311,0.7578,0.8622,1.0000,0.0000,0.8324,0.7969,0.8870,1.0000,0.0000
exp_0244,0.0001,0.0,32,3,0.1,0.01,1.0,1e-05,5,300,50,scaffold,62.1418,,70.3691,,135,True,2025-11-18 21:25:31,0.8889,0.7578,0.8622,1.0000,0.0000,0.8084,0.7969,0.8870,1.0000,0.0000
exp_0241,0.001,0.3,32,5,0.01,1.0,1.0,0.0001,5,300,50,scaffold,73.4540,,44.5627,,167,True,2025-11-18 21:25:37,0.6985,0.7578,0.8622,1.0000,0.0000,0.7664,0.7969,0.8870,1.0000,0.0000
exp_0245,0.0001,0.3,512,7,1.0,0.1,1.0,1e-05,5,300,50,scaffold,71.0407,,63.5185,,186,True,2025-11-18 21:26:19,0.8534,0.7422,0.8479,0.9485,0.0968,0.8787,0.7344,0.8350,0.8431,0.3077
exp_0247,1e-05,0.1,512,7,0.1,0.01,1.0,1e-05,5,300,50,scaffold,65.0075,,55.3043,,72,True,2025-11-18 21:26:44,0.7935,0.5625,0.6818,0.6186,0.3871,0.8517,0.6406,0.7416,0.6471,0.6154
exp_0250,0.001,0.1,512,5,1.0,1.0,1.0,1e-05,5,300,50,scaffold,72.3982,,64.8154,,51,True,2025-11-18 21:27:37,0.8382,0.7422,0.8520,0.9794,0.0000,0.8593,0.7656,0.8624,0.9216,0.1538
exp_0246,0.0001,0.1,512,3,1.0,0.1,1.0,1e-05,5,300,50,scaffold,63.9517,,66.9438,,258,True,2025-11-18 21:27:41,0.8568,0.7578,0.8558,0.9485,0.1613,0.8313,0.7969,0.8762,0.9020,0.3846
exp_0248,1e-05,0.3,32,5,0.01,0.1,0.1,1e-05,5,300,50,scaffold,66.9683,,54.4064,,99,True,2025-11-18 21:28:13,0.7915,0.7578,0.8610,0.9897,0.0323,0.8498,0.7969,0.8829,0.9608,0.1538
exp_0251,0.0001,0.1,512,7,1.0,0.01,0.1,0.0001,5,300,50,scaffold,66.3650,,55.7699,,68,True,2025-11-18 21:28:46,0.8017,0.7422,0.8436,0.9175,0.1935,0.8531,0.7656,0.8544,0.8627,0.3846
exp_0249,1e-05,0.3,32,5,0.1,0.01,0.1,0.0001,5,300,50,scaffold,66.2142,,53.5417,,99,True,2025-11-18 21:28:55,0.7869,0.7578,0.8610,0.9897,0.0323,0.8530,0.7969,0.8829,0.9608,0.1538
exp_0252,0.0001,0.3,32,7,1.0,0.1,1.0,1e-05,5,300,50,scaffold,69.2308,,63.5517,,53,True,2025-11-18 21:29:07,0.8526,0.7578,0.8622,1.0000,0.0000,0.8562,0.7969,0.8870,1.0000,0.0000
exp_0253,0.0001,0.1,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,66.6667,,58.6631,,75,True,2025-11-18 21:29:28,0.8256,0.7500,0.8519,0.9485,0.1290,0.8697,0.7344,0.8381,0.8627,0.2308
exp_0254,0.0001,0.1,512,5,0.01,0.1,1.0,0.0,5,300,50,scaffold,72.5490,,57.8982,,65,True,2025-11-18 21:29:52,0.7945,0.7266,0.8293,0.8763,0.2581,0.8800,0.7969,0.8738,0.8824,0.4615
exp_0255,0.0001,0.3,512,7,0.1,0.01,1.0,0.0001,5,300,50,scaffold,66.6667,,59.2285,,67,True,2025-11-18 21:30:03,0.8358,0.7266,0.8357,0.9175,0.1290,0.8514,0.7500,0.8462,0.8627,0.3077
exp_0257,0.001,0.3,512,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,61.3876,,67.4426,,53,True,2025-11-18 21:30:24,0.8769,0.7578,0.8622,1.0000,0.0000,0.7956,0.7969,0.8870,1.0000,0.0000
exp_0258,0.001,0.1,512,5,0.1,1.0,0.1,0.0,5,300,50,scaffold,71.9457,,65.5803,,51,True,2025-11-18 21:30:46,0.8399,0.7344,0.8468,0.9691,0.0000,0.8519,0.7812,0.8704,0.9216,0.2308
exp_0259,0.001,0.1,512,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,71.6440,,67.2098,,51,True,2025-11-18 21:30:58,0.8540,0.7344,0.8468,0.9691,0.0000,0.8761,0.7812,0.8704,0.9216,0.2308
exp_0256,1e-05,0.1,32,5,0.01,0.01,1.0,1e-05,5,300,50,scaffold,65.7617,,56.0692,,85,True,2025-11-18 21:31:19,0.8100,0.7266,0.8402,0.9485,0.0323,0.8589,0.7969,0.8829,0.9608,0.1538
