experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
ames_v2_0024,0.0005,0.3,16,5,0.1,0.01,1,0.0,5,300,50,scaffold,98.0509,87.2263,,83.4103,,63,True,2025-11-21 15:00:20,0.9726,0.9350,0.9385,0.9376,0.9321,0.8846,0.7634,0.7908,0.7908,0.7278,0.8672,0.7756,0.8130,0.8172,0.7138
ames_v2_0012,0.0001,0.3,16,3,0.1,0.01,1,0.0,5,300,50,scaffold,96.9311,88.7285,,83.3981,,140,True,2025-11-21 15:00:33,0.9697,0.9097,0.9148,0.9176,0.9009,0.9081,0.8116,0.8355,0.8467,0.7658,0.8741,0.7660,0.8016,0.7920,0.7274
ames_v2_0009,0.0005,0.3,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.5683,88.7223,,84.6946,,73,True,2025-11-21 15:02:18,0.9844,0.9431,0.9466,0.9536,0.9313,0.8746,0.8061,0.8396,0.8978,0.6867,0.8849,0.7735,0.8138,0.8287,0.6917
ames_v2_0015,0.0001,0.3,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.3222,88.5414,,83.1923,,149,True,2025-11-21 15:03:47,0.9765,0.9095,0.9119,0.8864,0.9354,0.8982,0.7950,0.8121,0.7835,0.8101,0.8697,0.7701,0.8160,0.8540,0.6457
ames_v2_0026,0.0005,0.3,64,5,0.1,0.01,1,0.0,5,300,50,scaffold,99.1489,87.8769,,82.9828,,89,True,2025-11-21 15:04:23,0.9922,0.9525,0.9551,0.9562,0.9484,0.8929,0.7868,0.8135,0.8224,0.7405,0.8623,0.7632,0.8009,0.7977,0.7121
ames_v2_0025,0.0005,0.3,32,5,0.1,0.01,1,0.0,5,300,50,scaffold,99.3729,87.7167,,83.2262,,120,True,2025-11-21 15:05:47,0.9890,0.9662,0.9683,0.9744,0.9571,0.8914,0.7785,0.8113,0.8418,0.6962,0.8650,0.7673,0.8103,0.8322,0.6712
ames_v2_0034,0.0001,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,97.9726,88.2965,,83.0190,,202,True,2025-11-21 15:14:31,0.9776,0.9313,0.9353,0.9398,0.9217,0.9078,0.7895,0.8185,0.8394,0.7247,0.8616,0.7708,0.8107,0.8218,0.6951
ames_v2_0022,0.001,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.5413,87.6952,,82.7835,,83,True,2025-11-21 15:16:05,0.9957,0.9611,0.9625,0.9432,0.9813,0.8580,0.7689,0.7873,0.7567,0.7848,0.8665,0.7612,0.8016,0.8080,0.6917
ames_v2_0019,0.001,0.3,32,5,0.1,0.01,1,0.0,5,300,50,scaffold,99.7844,87.9685,,82.9284,,125,True,2025-11-21 15:16:08,0.9960,0.9798,0.9807,0.9718,0.9888,0.8773,0.7689,0.7910,0.7737,0.7627,0.8657,0.7618,0.8065,0.8310,0.6593
ames_v2_0046,0.0005,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.9786,88.0640,,83.0263,,95,True,2025-11-21 15:18:24,0.9904,0.9572,0.9595,0.9588,0.9554,0.8917,0.7964,0.8246,0.8467,0.7310,0.8610,0.7701,0.8040,0.7897,0.7411
ames_v2_0035,0.0001,0.3,64,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.8377,87.6582,,83.4107,,285,True,2025-11-21 15:18:57,0.9898,0.9450,0.9480,0.9476,0.9421,0.8872,0.7717,0.8014,0.8151,0.7152,0.8676,0.7708,0.8124,0.8310,0.6814
ames_v2_0003,0.001,0.3,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,99.0100,88.8702,,83.5620,,72,True,2025-11-21 15:20:04,0.9912,0.9507,0.9532,0.9488,0.9529,0.8690,0.7854,0.8079,0.7981,0.7690,0.8661,0.7680,0.8069,0.8115,0.7036
ames_v2_0021,0.001,0.3,16,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.8563,87.3864,,82.6862,,77,True,2025-11-21 15:21:56,0.9724,0.9570,0.9595,0.9636,0.9496,0.8635,0.7607,0.7893,0.7932,0.7184,0.8677,0.7612,0.8020,0.8103,0.6882
ames_v2_0047,0.0005,0.3,64,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.9656,87.7668,,83.7060,,74,True,2025-11-21 15:22:39,0.9912,0.9492,0.9518,0.9502,0.9479,0.8875,0.7744,0.8005,0.8005,0.7405,0.8686,0.7653,0.8085,0.8299,0.6695
ames_v2_0023,0.001,0.3,64,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.5181,88.0894,,83.3830,,77,True,2025-11-21 15:22:55,0.9922,0.9688,0.9704,0.9673,0.9704,0.8785,0.7882,0.8127,0.8127,0.7563,0.8662,0.7776,0.8163,0.8276,0.7036
ames_v2_0027,0.0005,0.3,16,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.6272,87.9862,,83.4538,,88,True,2025-11-21 15:26:15,0.9700,0.9497,0.9526,0.9543,0.9446,0.8891,0.7840,0.8177,0.8564,0.6899,0.8614,0.7673,0.8039,0.7989,0.7206
ames_v2_0030,0.0001,0.3,16,5,0.1,0.01,1,0.0,5,300,50,scaffold,97.4831,87.7814,,83.9299,,161,True,2025-11-21 15:28:42,0.9781,0.9152,0.9171,0.8879,0.9459,0.9014,0.7895,0.8080,0.7835,0.7975,0.8682,0.7763,0.8205,0.8563,0.6576
ames_v2_0028,0.0005,0.3,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.1855,88.2072,,82.9983,,79,True,2025-11-21 15:31:02,0.9917,0.9568,0.9592,0.9610,0.9521,0.8940,0.7978,0.8252,0.8443,0.7373,0.8730,0.7639,0.8102,0.8437,0.6457
ames_v2_0062,0.0005,0.4,64,3,0.1,0.01,1,0.0,5,300,50,scaffold,98.1674,88.6700,,83.9413,,97,True,2025-11-21 15:31:05,0.9834,0.9338,0.9376,0.9406,0.9263,0.8754,0.7992,0.8274,0.8516,0.7310,0.8782,0.7687,0.8075,0.8126,0.7036
ames_v2_0049,0.0001,0.3,32,7,0.1,0.01,1,0.0,5,300,50,scaffold,97.2849,87.8215,,82.7255,,175,True,2025-11-21 15:31:47,0.9755,0.9156,0.9211,0.9320,0.8971,0.9021,0.7950,0.8261,0.8613,0.7089,0.8566,0.7660,0.8028,0.7977,0.7189
ames_v2_0053,0.0001,0.3,64,7,0.1,0.01,1,1e-05,5,300,50,scaffold,97.6658,87.9146,,83.7077,,206,True,2025-11-21 15:32:22,0.9802,0.9201,0.9241,0.9205,0.9196,0.9052,0.8088,0.8286,0.8175,0.7975,0.8719,0.7694,0.8044,0.7943,0.7325
ames_v2_0048,0.0001,0.3,16,7,0.1,0.01,1,0.0,5,300,50,scaffold,97.4896,88.0155,,83.3913,,167,True,2025-11-21 15:36:41,0.9778,0.9207,0.9245,0.9179,0.9238,0.8947,0.7937,0.8180,0.8200,0.7595,0.8591,0.7680,0.8033,0.7931,0.7308
ames_v2_0050,0.0001,0.3,64,7,0.1,0.01,1,0.0,5,300,50,scaffold,97.5267,87.8792,,83.6599,,206,True,2025-11-21 15:38:08,0.9789,0.9187,0.9229,0.9202,0.9171,0.9024,0.8033,0.8232,0.8102,0.7943,0.8722,0.7687,0.8028,0.7885,0.7394
ames_v2_0029,0.0005,0.3,64,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.6159,88.1795,,82.8140,,112,True,2025-11-21 15:38:36,0.9967,0.9647,0.9668,0.9729,0.9554,0.8790,0.7882,0.8188,0.8467,0.7120,0.8627,0.7673,0.8060,0.8092,0.7053
ames_v2_0068,0.0001,0.4,64,3,0.1,0.01,1,0.0,5,300,50,scaffold,96.1864,88.4913,,83.7553,,233,True,2025-11-21 15:42:47,0.9659,0.8975,0.9021,0.8927,0.9030,0.9095,0.7964,0.8191,0.8151,0.7722,0.8762,0.7646,0.8016,0.7966,0.7172
ames_v2_0033,0.0001,0.3,16,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.5324,88.2834,,83.1537,,203,True,2025-11-21 15:45:45,0.9873,0.9386,0.9422,0.9473,0.9288,0.8965,0.7813,0.8105,0.8273,0.7215,0.8590,0.7701,0.8002,0.7713,0.7683
ames_v2_0061,0.0005,0.4,32,3,0.1,0.01,1,0.0,5,300,50,scaffold,98.3680,88.9179,,83.5528,,95,True,2025-11-21 15:46:30,0.9858,0.9313,0.9333,0.9098,0.9554,0.9072,0.8033,0.8224,0.8054,0.8006,0.8728,0.7714,0.8063,0.7966,0.7342
ames_v2_0020,0.001,0.3,64,5,0.1,0.01,1,0.0,5,300,50,scaffold,99.6500,87.9577,,82.6986,,107,True,2025-11-21 15:48:01,0.9932,0.9757,0.9770,0.9788,0.9721,0.8985,0.7882,0.8171,0.8370,0.7247,0.8605,0.7701,0.8087,0.8138,0.7053
ames_v2_0018,0.001,0.3,16,5,0.1,0.01,1,0.0,5,300,50,scaffold,99.1751,87.6698,,84.8115,,64,True,2025-11-21 15:48:26,0.9923,0.9543,0.9562,0.9443,0.9654,0.8823,0.7744,0.7990,0.7932,0.7500,0.8766,0.7831,0.8173,0.8126,0.7394
ames_v2_0052,0.0001,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,97.5358,87.8361,,82.9413,,175,True,2025-11-21 15:51:52,0.9780,0.9221,0.9272,0.9384,0.9038,0.9051,0.7964,0.8275,0.8637,0.7089,0.8599,0.7653,0.8028,0.8000,0.7138
ames_v2_0064,0.0005,0.4,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.2480,88.8124,,83.6994,,112,True,2025-11-21 15:53:13,0.9701,0.9393,0.9435,0.9573,0.9192,0.8850,0.7785,0.8113,0.8418,0.6962,0.8712,0.7804,0.8236,0.8586,0.6644
ames_v2_0058,0.001,0.4,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.6025,88.4428,,84.2607,,71,True,2025-11-21 15:53:15,0.9874,0.9433,0.9465,0.9488,0.9371,0.8846,0.8019,0.8294,0.8516,0.7373,0.8795,0.7824,0.8234,0.8494,0.6831
ames_v2_0054,0.001,0.4,16,3,0.1,0.01,1,0.0,5,300,50,scaffold,98.5015,87.9131,,83.7506,,85,True,2025-11-21 15:54:15,0.9852,0.9439,0.9470,0.9491,0.9379,0.8783,0.8033,0.8304,0.8516,0.7405,0.8677,0.7673,0.8002,0.7805,0.7479
ames_v2_0055,0.001,0.4,32,3,0.1,0.01,1,0.0,5,300,50,scaffold,97.8735,88.3527,,83.1902,,60,True,2025-11-21 15:55:07,0.9726,0.9264,0.9294,0.9168,0.9371,0.8772,0.7909,0.8146,0.8127,0.7627,0.8719,0.7646,0.8034,0.8057,0.7036
ames_v2_0042,0.0005,0.3,16,7,0.1,0.01,1,0.0,5,300,50,scaffold,98.2678,87.5974,,84.2817,,69,True,2025-11-21 15:56:54,0.9817,0.9382,0.9419,0.9476,0.9275,0.8713,0.7854,0.8147,0.8345,0.7215,0.8722,0.7756,0.8098,0.8000,0.7394
ames_v2_0043,0.0005,0.3,32,7,0.1,0.01,1,0.0,5,300,50,scaffold,99.0013,87.9778,,82.5883,,81,True,2025-11-21 15:57:39,0.9913,0.9539,0.9566,0.9618,0.9450,0.8725,0.7978,0.8244,0.8394,0.7437,0.8580,0.7495,0.7795,0.7414,0.7615
ames_v2_0067,0.0001,0.4,32,3,0.1,0.01,1,0.0,5,300,50,scaffold,96.1256,88.6014,,83.8152,,189,True,2025-11-21 15:59:22,0.9660,0.8859,0.8887,0.8615,0.9134,0.9140,0.8061,0.8231,0.7981,0.8165,0.8792,0.7660,0.8028,0.7977,0.7189
ames_v2_0044,0.0005,0.3,64,7,0.1,0.01,1,0.0,5,300,50,scaffold,99.2480,87.7668,,83.4968,,93,True,2025-11-21 16:00:14,0.9935,0.9550,0.9572,0.9506,0.9600,0.8901,0.7799,0.8072,0.8151,0.7342,0.8680,0.7735,0.8101,0.8092,0.7206
ames_v2_0056,0.001,0.4,64,3,0.1,0.01,1,0.0,5,300,50,scaffold,99.1447,88.2303,,83.5018,,96,True,2025-11-21 16:01:39,0.9904,0.9537,0.9560,0.9517,0.9559,0.8903,0.7840,0.8146,0.8394,0.7120,0.8705,0.7618,0.7984,0.7897,0.7206
ames_v2_0036,0.001,0.3,16,7,0.1,0.01,1,0.0,5,300,50,scaffold,98.9605,87.3780,,83.5763,,57,True,2025-11-21 16:03:48,0.9902,0.9395,0.9408,0.9087,0.9742,0.8560,0.7744,0.7853,0.7299,0.8323,0.8704,0.7666,0.8124,0.8460,0.6491
ames_v2_0080,0.0005,0.4,64,5,0.1,0.01,1,0.0,5,300,50,scaffold,98.7015,88.2311,,83.0596,,125,True,2025-11-21 16:04:16,0.9889,0.9419,0.9445,0.9361,0.9484,0.8904,0.7992,0.8211,0.8151,0.7785,0.8662,0.7728,0.8094,0.8080,0.7206
ames_v2_0045,0.0005,0.3,16,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.6029,87.6705,,84.0253,,67,True,2025-11-21 16:06:12,0.9865,0.9462,0.9495,0.9566,0.9346,0.8661,0.7882,0.8197,0.8516,0.7057,0.8695,0.7673,0.7962,0.7609,0.7768
ames_v2_0083,0.0005,0.4,64,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.9311,88.6807,,82.4208,,145,True,2025-11-21 16:06:43,0.9859,0.9503,0.9527,0.9465,0.9546,0.8962,0.8061,0.8311,0.8443,0.7563,0.8575,0.7708,0.8083,0.8092,0.7138
ames_v2_0037,0.001,0.3,32,7,0.1,0.01,1,0.0,5,300,50,scaffold,99.3782,87.5350,,83.5133,,68,True,2025-11-21 16:06:57,0.9940,0.9607,0.9635,0.9792,0.9400,0.8808,0.7689,0.8069,0.8540,0.6582,0.8563,0.7756,0.8093,0.7977,0.7428
ames_v2_0051,0.0001,0.3,16,7,0.1,0.01,1,1e-05,5,300,50,scaffold,97.6342,87.8592,,83.3390,,169,True,2025-11-21 16:08:58,0.9772,0.9221,0.9264,0.9272,0.9163,0.8886,0.7827,0.8110,0.8248,0.7278,0.8566,0.7680,0.7978,0.7667,0.7700
ames_v2_0038,0.001,0.3,64,7,0.1,0.01,1,0.0,5,300,50,scaffold,99.8747,87.8238,,83.0439,,109,True,2025-11-21 16:09:40,0.9989,0.9804,0.9815,0.9870,0.9729,0.8699,0.7758,0.8062,0.8248,0.7120,0.8601,0.7639,0.7967,0.7747,0.7479
ames_v2_0066,0.0001,0.4,16,3,0.1,0.01,1,0.0,5,300,50,scaffold,96.3275,88.5968,,84.0291,,195,True,2025-11-21 16:11:49,0.9668,0.8997,0.9042,0.8957,0.9042,0.8965,0.7895,0.8132,0.8102,0.7627,0.8734,0.7714,0.8090,0.8103,0.7138
ames_v2_0041,0.001,0.3,64,7,0.1,0.01,1,1e-05,5,300,50,scaffold,99.5259,87.8261,,82.9042,,69,True,2025-11-21 16:12:14,0.9957,0.9625,0.9642,0.9543,0.9717,0.8776,0.7923,0.8174,0.8224,0.7532,0.8606,0.7783,0.8151,0.8184,0.7189
ames_v2_0040,0.001,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,99.1672,88.1179,,84.3735,,58,True,2025-11-21 16:12:14,0.9924,0.9566,0.9593,0.9673,0.9446,0.8697,0.7827,0.8150,0.8467,0.6994,0.8679,0.7824,0.8181,0.8195,0.7274
